"Month","Year","PRODUCTS","Quantity (000 Metric Tonnes)","updated_date"
"October","2020","LDO","69.00","2023-05-29"
"September","2020","LDO","65.00","2023-05-29"
"August","2020","LDO","62.00","2023-05-29"
"July","2020","LDO","62.00","2023-05-29"
"June","2020","LDO","63.00","2023-05-29"
"May","2020","LDO","71.00","2023-05-29"
"April","2020","LDO","28.00","2023-05-29"
"January","2023","LPG","2506.57","2023-05-29"
"December","2022","LPG","2569.59","2023-05-29"
"November","2022","LPG","2461.31","2023-05-29"
"October","2022","LPG","2394.04","2023-05-29"
"September","2022","LPG","2440.86","2023-05-29"
"August","2022","LPG","2388.16","2023-05-29"
"July","2022","LPG","2403.59","2023-05-29"
"June","2022","LPG","2225.50","2023-05-29"
"May","2022","LPG","2158.68","2023-05-29"
"April","2022","LPG","2157.46","2023-05-29"
"March","2022","LPG","2472.00","2023-05-29"
"February","2022","LPG","2393.00","2023-05-29"
"January","2022","LPG","2562.00","2023-05-29"
"December","2021","LPG","2469.00","2023-05-29"
"November","2021","LPG","2336.00","2023-05-29"
"October","2021","LPG","2481.00","2023-05-29"
"September","2021","LPG","2356.00","2023-05-29"
"August","2021","LPG","2317.00","2023-05-29"
"July","2021","LPG","2357.00","2023-05-29"
"June","2021","LPG","2251.00","2023-05-29"
"May","2021","LPG","2156.00","2023-05-29"
"April","2021","LPG","2102.00","2023-05-29"
"March","2021","LPG","2256.00","2023-05-29"
"February","2021","LPG","2262.00","2023-05-29"
"January","2021","LPG","2490.00","2023-05-29"
"December","2020","LPG","2523.00","2023-05-29"
"November","2020","LPG","2352.00","2023-05-29"
"October","2020","LPG","2421.00","2023-05-29"
"September","2020","LPG","2261.00","2023-05-29"
"August","2020","LPG","2262.00","2023-05-29"
"July","2020","LPG","2258.00","2023-05-29"
"June","2020","LPG","2064.00","2023-05-29"
"May","2020","LPG","2296.00","2023-05-29"
"April","2020","LPG","2113.00","2023-05-29"
"January","2023","Lubricants & Greases","354.32","2023-05-29"
"December","2022","Lubricants & Greases","297.38","2023-05-29"
"November","2022","Lubricants & Greases","301.91","2023-05-29"
"October","2022","Lubricants & Greases","354.74","2023-05-29"
"September","2022","Lubricants & Greases","266.27","2023-05-29"
"August","2022","Lubricants & Greases","242.84","2023-05-29"
"July","2022","Lubricants & Greases","310.69","2023-05-29"
"June","2022","Lubricants & Greases","290.92","2023-05-29"
"May","2022","Lubricants & Greases","300.93","2023-05-29"
"April","2022","Lubricants & Greases","318.16","2023-05-29"
"March","2022","Lubricants & Greases","538.00","2023-05-29"
"February","2022","Lubricants & Greases","380.00","2023-05-29"
"January","2022","Lubricants & Greases","310.00","2023-05-29"
"December","2021","Lubricants & Greases","450.00","2023-05-29"
"November","2021","Lubricants & Greases","354.00","2023-05-29"
"October","2021","Lubricants & Greases","458.00","2023-05-29"
"September","2021","Lubricants & Greases","377.00","2023-05-29"
"August","2021","Lubricants & Greases","364.00","2023-05-29"
"July","2021","Lubricants & Greases","319.00","2023-05-29"
